station_code,station_name,lat,lon,state,zone
KURN,KHUKRANA,29.400184,76.924226,,
KURO,Korari,26.48788,80.529002,Uttar Pradesh,NR
KUT,KANAUTA,26.842216,75.955996,,
KUTI,Khumtai,26.626404,93.864273,Assam,NFR
KUTL,Kuwanthal,25.498041,73.918994,Rajasthan,NWR
KUTR,Kulathur,10.572175,78.792077,Tamil Nadu,SR
KUU,KUHURI,19.859987,85.3527,,
KUV,Kundara,8.960373,76.678549,Kerala,SR
KUW,KANWAR,25.703652,81.214644,,
KUX,Khirsadoh Junction,22.14045,78.798394,Madhya Pradesh,CR
KUY,TIRUPPUR KULIPALAYAM,11.144028,77.389314,,
KVA,KAVAS,25.867466,71.538716,Rajasthan,NWR
KVC,KAPARPURA,26.179892,85.309233,Bihar,ECR
KVD,KHURMABAD ROAD,25.021489,83.848303,,
KVDU,KADAVAKUDURU,15.722541,80.257298,,
KVE,KAVALANDE,12.033304,76.799272,Karnataka,SWR
KVG,KUNEANGANJ,26.395661,81.13642,,
KVGM,KOLVAGRAM,26.989484,76.468765,,
KVH,Khambhel,23.610866,72.042973,Gujarat,WR
KVJ,KESHAVGANJ,24.856164,73.071329,Rajasthan,NWR
KVK,KAVATHE MAHANKL,17.007517,74.944911,Maharashtra,CR
KVL,KIZHELUR,10.754288,79.743134,Tamil Nadu,SR
KVLR,Karuvalli,11.831114,78.027912,Tamil Nadu,SWR
KVLS,Karakavalasa,18.292228,82.991426,Andhra Pradesh,ECoR
KVM,Kavutaram,16.32892,81.069608,Andhra Pradesh,SCR
KVN,KAVANUR,12.948577,78.969273,,
KVNJ,Kapadvanj,23.01905,73.078323,Gujarat,WR
KVP,KAVARAIPPETTAI,13.36347,80.146879,,
KVQ,KOSIARA,24.478657,83.908564,,
KVR,KOVVUR,17.007084,81.726495,,
KVS,KALSUR,14.888042,75.400957,Karnataka,SWR
KVTA,KARUVATTA HALT,9.316791,76.431242,Kerala,SR
KVU,KADAKAVUR,8.679078,76.766672,,
KVX,KUSUMBHI,26.639853,80.654261,,
KVZ,KAVALI,14.915993,79.988271,,
KW,KHERVADI,20.046948,73.973978,,
KWAE,KATWA,23.640315,88.124085,West Bengal,ER
KWB,Kaniwara,22.218261,79.732914,Madhya Pradesh,SECR
KWBR,KATWAR BAZAAR,25.562644,82.448864,,
KWC,KUNDWA CHAINPUR,26.771884,85.183119,,
KWD,KARWANDIA,24.953195,84.084599,,
KWDP,Kakdwip,21.8796,88.193879,West Bengal,ER
KWE,KHURIAL,25.491114,87.826855,,
KWF,Katwa,23.639805,88.123575,West Bengal,ER
KWGN,Kawargaon,18.896086,81.533522,Chhattisgarh,ECoR
KWH,KACHHWA ROAD,25.250465,82.706617,Uttar Pradesh,NER
KWI,KIVARLI,24.540507,72.842419,Rajasthan,NWR
KWJ,KHOJEWALA,31.359247,75.474956,Punjab,NR
KWKC,KHERWA KOCHA,23.360568,85.594856,,
KWM,KAMPUR,26.160601,92.657787,Assam,NFR
KWMD,KUMBHAWAS MUNDA,28.255391,76.660871,Haryana,NR
KWN,KACHEWANI,21.43031,79.981657,,
KWO,KARAUTA,25.468639,85.46824,,
KWP,KHATIPURA,26.835709,75.890498,,
KWR,KOELWAR,25.5687,84.792055,,
KWV,KURDUVADI,18.091348,75.417118,,
KWW,Kuswa,27.473814,78.403697,Uttar Pradesh,NCR
KXA,Kuanriya,25.130668,74.000153,Rajasthan,NWR
KXB,KANJAI,24.331047,78.169132,,
KXE,KALIAN CHAK,25.03452,87.736758,,
KXF,KAMPIL ROAD,27.567619,79.265007,,
KXG,KHARIA KHANGARH,26.609843,73.686313,,
KXH,KAPURTHALA,31.366846,75.382724,Punjab,NR
KXI,KURUMURTHI,16.494924,77.863463,,
KXJ,Karimganj Junction,24.860717,92.373769,Assam,NFR
KXK,Kharkhauda,28.833445,77.739043,Uttar Pradesh,NR
KXL,KAMARBANDHA ALI,26.529561,94.056352,Assam,NFR
KXM,KITHAM,27.253709,77.817054,,
KXN,KANSHBAHAL,22.215278,84.666289,,
KXO,KUDIKADU,10.775636,79.241642,Tamil Nadu,SR
KXP,KANIYAPURAM,8.587612,76.854482,,
KXR,KURIA,26.468217,85.005407,,
KXT,Ketti,11.381409,76.736915,Tamil Nadu,SR
KXX,KATA ROAD,20.187339,77.11088,Maharashtra,SCR
KXZ,KESARIYA ROAD,22.908846,71.814406,,
KY,KARELI,22.932344,79.066765,Madhya Pradesh,WCR
KYA,KAURIYA,25.550912,84.521285,,
KYBR,Khairatiya Bandh Road,28.272292,81.081765,Uttar Pradesh,NER
KYE,KHURAI,24.051525,78.331128,,
KYF,KAJRAT NAWADIH,24.591041,84.05014,,
KYG,KIDIYANAGA,23.47934,70.768891,,
KYH,Khairah,25.861013,84.760114,Bihar,NER
KYI,Kalyani,22.969219,88.467499,West Bengal,ER
KYJ,KAYANKULAM JN,9.182586,76.512933,,
KYM,KADIYAN,16.914338,81.832674,,
KYN,KALYAN JN,19.234716,73.12974,,
KYNT,KALYANKOT,29.298805,73.637024,Rajasthan,NWR
KYO,KHANDIKAR,26.463321,91.642769,,
KYOP,KOTTAPALLI,18.540268,79.403859,,
KYP,Kalyanpur,22.343456,88.414597,West Bengal,ER
KYQ,KAMAKHYA,26.156154,91.689505,,
KYR,KARUPPATTI,10.044465,77.948393,,
KYS,Kusumkasa,20.637273,81.087812,Chhattisgarh,SECR
KYSB,KAIYAL SEDHAVI,23.426814,72.428531,,
KYSD,KAIYAL SEDHAVI,23.427144,72.428861,Gujarat,WR
KYT,KAILAHAT,25.155223,82.947581,,
KYV,KOYILVENNI,10.776294,79.368646,Tamil Nadu,SR
KYW,KARCHHUE,26.231124,84.207154,,
KYX,KARHIYA BHADELI,23.858464,79.504563,,
KYY,Kariha,31.146278,76.068043,Punjab,NR
KZA,KHADA,27.182926,83.868376,Uttar Pradesh,NER
KZB,Kurumbur,8.585755,78.03964,Tamil Nadu,SR
KZC,Kulukkalur,10.868287,76.239443,Kerala,SR
KZE,KANHANGAD,12.320268,75.085248,Kerala,SR
KZH,KILA ZAFARGARH,29.080581,76.428953,Haryana,NR
KZI,KHANDRAWALI,29.382585,77.293885,Uttar Pradesh,NR
KZJ,KAZIPET JN,17.974211,79.511025,,
KZJE,KAZIPET E CABIN,17.975697,79.561183,,
KZJF,KAZIPET F CABIN,17.974824,79.577271,,
KZJT,KAZIPET TOWN,17.983151,79.517705,,
KZK,KAZHAKUTTAM,8.555848,76.872235,,
KZPE,KAZIPARA HALT,23.909674,88.188311,,
KZPR,KAZIPARA,23.909854,88.188491,West Bengal,ER
KZQ,KHIMEL,25.300189,73.279577,Rajasthan,NWR
KZS,KUAKHERA HALT,28.546471,78.766517,Uttar Pradesh,NR
KZT,KULITTHURAI,8.302348,77.218817,Tamil Nadu,SR
KZTW,KULITTURAI WEST,8.323734,77.209792,Tamil Nadu,SR
KZU,KUNKI,22.875933,86.067757,,
KZW,KATAR SINGHWALA,30.15413,75.010844,Punjab,NR
KZX,KHUDDA KORALA,31.729693,75.647484,Punjab,NR
KZY,Kayalpattinam,8.566912,78.09973,Tamil Nadu,SR
LAA,LAKHPAT,23.597666,71.028821,,
LAC,LACHHIPURA,26.323672,74.653294,,
LAD,Lohardaga,23.445967,84.70733,Jharkhand,SER
LAE,LAKHOLI,21.201827,81.890652,,
LAK,LAKHO,25.41636,86.205004,Bihar,ECR
LAL,LUSHALA,21.391824,70.32629,Gujarat,WR
LAN,LOTANA,22.523268,73.363557,,
LAP,Lohapur,24.302357,87.963719,West Bengal,ER
LAR,LALITPUR,24.688222,78.395791,,
LAT,Lathi,21.73935,71.386531,Gujarat,WR
LATI,LATIA CABIN,22.027897,82.402106,,
LAU,Ladnun,27.64255,74.4056,Rajasthan,NWR
LAUL,LAUL,18.033873,75.39501,Maharashtra,CR
LAV,LABHA,25.439647,87.74514,,
LB,Lain Bazar,26.429191,84.280601,,
LBA,LAMBHUA,26.133687,82.223283,,
LBG,LIMBGAON,19.176458,77.206134,Maharashtra,SCR
LBH,DILKUSHA CABIN,26.83113,80.966867,,
LBN,LABAN,25.574304,76.207965,,
LBO,Latabor,20.789828,81.26577,Chhattisgarh,SECR
LBT,LALGARH BIHAR HALT,24.161147,83.979632,,
LBTL,Lebutala,22.666791,88.640107,West Bengal,ER
LBW,Laiburwa Halt,27.526042,82.468345,Uttar Pradesh,NER
LBZ,LALBAG BH,24.509662,85.446702,,
LC,LUCKNOW CITY,26.859109,80.917866,,
LCAE,LALBAGH COURT ROAD,24.173693,88.246307,West Bengal,ER
LCH,Linch,23.526718,72.355484,Gujarat,WR
LCK,LAKHOCHAK HALT,25.139185,86.136411,,
LCN,LALPUR CHANDRA,27.659296,80.451791,,
LCNC,LUCKNOW CITY,26.859254,80.917984,,
LCR,LOKUR,11.927787,78.174049,,
LCT,LANGCHOLIET,25.759323,93.304636,Assam,NFR
LD,LONDA JN,15.450273,74.496982,Karnataka,SWR
LDA,LIDHORA KHURD,23.852972,78.872323,,
LDCY,LODI COLONY,28.579455,77.216548,Delhi NCT,NR
LDE,Lokdhikhera,21.582533,78.855877,Madhya Pradesh,SECR
LDH,LUDHIANA JN,30.912367,75.847873,,
LDK,Ladhuka,30.49849,74.119614,Punjab,NR
LDM,Ledarmer,25.055439,72.347019,Rajasthan,NWR
LDP,LODIPUR BISHANPUR,28.872302,78.709099,,
LDR,LANDAURA,29.814493,77.941557,,
LDU,Lunidhar,21.715431,71.085551,Gujarat,WR
LDW,LADHOWAL,31.016957,75.785811,,
LDX,LADDA,19.102692,83.412196,,
LDY,LAKKITI,10.753217,76.434467,,
LEB,LEMUABAD,25.482271,85.778358,,
LEDO,Ledo,27.288435,95.725374,Assam,NFR
LEK,LAKHAKHERA,23.7639,80.574139,Madhya Pradesh,WCR
LER,Lehra,27.161243,83.234142,Uttar Pradesh,NER
LGCE,LAGARGAWAN,24.464248,80.81431,Madhya Pradesh,WCR
LGD,LALLAGUDA,17.441464,78.525617,,
LGDH,LALAGUDA GATE,17.440355,78.524403,,
LGH,LALGARH JN,28.043638,73.313909,Rajasthan,NWR
LGL,Lalgola,24.421152,88.257513,West Bengal,ER
LGO,LalgopalGanj,25.642195,81.630185,Uttar Pradesh,NR
LGRE,LINGIRI,16.670289,77.188998,,
LGT,LANGTING,25.49759,93.110265,Assam,NFR
LGTR,LINGARAJ TEMPLE ROAD,20.234947,85.815872,,
LH,LAHING,26.741201,94.437149,Assam,NFR
LHA,LEHRA GAGA,29.937832,75.810079,Punjab,NR
LHB,LAHABON,24.64034,86.600138,,
LHBK,LOTHAL BHURKI,22.55299,72.222393,Gujarat,WR
LHD,LOHOGAD,20.467176,77.078506,Maharashtra,SCR
LHK,LAIHRA KHANA,30.225855,75.138985,,
LHL,LAHOAL,27.4525,94.999525,Assam,NFR
LHLL,Lahli,28.854317,76.445338,Haryana,NWR
LHM,LEHRA MUHABBAT,30.236037,75.162817,Punjab,NR
LHN,LACHYAN,17.279574,75.971701,Maharashtra,SWR
LHNA,Lohanda,25.354115,85.279024,,
LHNR,Lakshmanpur Halt,27.53183,82.339764,,
LHU,Loharu,28.427051,75.801613,Haryana,NWR
LHW,Loharwara,27.19839,75.67687,Rajasthan,NWR
LIG,Linga,21.963575,78.936403,Madhya Pradesh,SECR
LIJ,Lakshmiganj,26.927786,83.788161,,
LIM,SONALIUM,15.309987,74.292427,,
LIN,LINGAMGUNTLA,16.439709,80.273943,,
LING,Ling,25.290392,87.361583,Maharashtra,CR
LIR,Lachmipur,27.25415,83.379037,,NER
LJKR,LAJKURA CABIN,21.809025,83.888267,,
LJN,LUCKNOW JN,26.831967,80.918587,,
LJR,LANJIGARH ROAD,19.943422,83.400342,,
LKA,LANKA,25.914426,92.958001,Assam,NFR
LKB,LAKSHMIPUR BHORANG,25.288258,87.36336,,
LKBL,LAKHABAWAL,22.409215,69.999514,Gujarat,WR
LKBR,LAKSHMI BAI NAGAR,22.741887,75.858162,,
LKD,LAKODARA,21.991872,73.098994,,
LKDU,Lankalakoderu,16.534517,81.681244,Andhra Pradesh,SCR
LKE,LAKHERI,25.639864,76.192147,,
LKF,LAKE GARDENS,22.507947,88.352371,,
LKG,LAMSAKHANG,25.796536,93.046846,Assam,NFR
LKJN,LINK JN. CABIN,25.356832,81.841869,,
LKKD,LAKKADKOT,21.163562,73.603025,,
LKMN,Lokmanya Nagar,22.691279,75.847166,Madhya Pradesh,WR
LKMR,LAXMIPUR ROAD,19.003986,83.104298,,
LKN,LAKHMINIA,25.426072,86.309269,Bihar,ECR
LKNA,LAKHNA,20.729266,82.662489,,
LKNR,LAKHPAT NAGAR,27.027626,82.277589,,
LKO,LUCKNOW,26.830675,80.925291,,
LKPL,LAKDIKAPUL,17.404048,78.463527,Andhra Pradesh,SCR
LKPR,Lakshmikantpur,22.110055,88.321958,West Bengal,ER
LKQ,Laukaha Bazar,26.543198,86.463013,Bihar,ECR
LKR,LUCKEESARAI JN,25.171662,86.093211,,
LKS,LUNKARANSAR,28.493395,73.743155,Rajasthan,NWR
LKSH,LAKSHMINARAYANAPURAM,16.600703,81.592567,Andhra Pradesh,SCR
LKT,HULKOTI,15.434667,75.531958,Karnataka,SWR
LKU,LAL KUAN,29.071574,79.517641,Uttarakhand,NER
LKW,Lakhewali,30.447834,74.341781,Punjab,NR
LKX,LAKSHMIPUR,23.502512,88.302374,West Bengal,ER
LKY,LAKHMAPUR,15.870282,75.627712,Karnataka,SWR
LKZ,LAKADIYA,23.339664,70.586745,Gujarat,WR
LLBR,Lalabazar,24.56185,92.610161,Assam,?
LLD,Lalavadi,21.930347,78.189646,,
LLGM,LELIGUMA,19.304006,83.208299,,
LLH,LILUAH,22.621521,88.339559,,
LLI,LALGUDI,10.875733,78.813672,,
LLJ,LalGanj,26.172392,80.973175,Uttar Pradesh,NR
LLKN,LAL KALAN,30.827549,76.101493,,
LLP,Lalitgram,26.356665,87.012266,Bihar,ECR
LLPR,LALIT LAKSHMIPR,26.436785,86.1562,,
LLR,LALPUR,26.318818,79.948516,,
LLU,LALRU,30.479756,76.7941,Punjab,NR
LM,LIMBDI,22.56604,71.789599,Gujarat,WR
LMA,LAMBIYA,25.578334,74.585615,Rajasthan,NWR
LMC,LAKHAMANCHI,22.571812,71.148414,Gujarat,WR
LMD,LINGANENIDODDI,15.399929,77.703397,Andhra Pradesh,SCR
LMG,LUMDING JN,25.750036,93.1766,Assam,NFR
LMGF,LUMDING JN,25.750176,93.17674,,
LMGS,LUMDING SOUTH,25.757118,93.163576,,
LMK,LIMKHEDA,22.833894,73.984515,,
LMM,LAILAKH MAMLKHA,25.21827,87.105067,,
LMN,Lachhmanpur,26.050472,81.257263,Uttar Pradesh,NR
LMNR,LAKSHMIBAI NAGAR,22.742296,75.858526,Madhya Pradesh,WR
LMO,LILIYA MOTA,21.540317,71.372863,Gujarat,WR
LMP,LAKHIMPUR,27.947414,80.777625,Uttar Pradesh,NER
LMT,ALMATTI,16.3459,75.9005,Karnataka,SWR
LMU,Limarua,22.52425,80.349702,Madhya Pradesh,SECR
LNA,LAMANA,26.244934,74.46563,Rajasthan,NWR
LNH,Lachhmangarh Sikar,27.832586,75.034114,Rajasthan,NWR
LNK,LOHIAN KHAS JN,31.165462,75.196445,Punjab,NR
LNKC,LINK C-CABIN,22.267173,84.974611,,
LNL,LONAVALA,18.748883,73.407657,,
LNN,LONAND,18.040769,74.190477,Maharashtra,CR
LNO,Lohna Road,26.220882,86.229057,Bihar,ECR
